Subject,Day,Task,Trial,RMS_mean,RMS_std,Env_mean,BurstDur_mean_s,PeakFreq_mean_Hz,CoContrIndex,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,CoContr_FlexExt,CoContr_BicTri,RMS_extractor,MNF,MDF,PKF,IEMG,VAR
PT_10,1,Tapes,2,189.16316120127954,72.97469870590919,176.1707394557758,52.33703125,0.0738525390625,0.6664179120842765,142.087779946848,201.98811365926431,187.85263668086122,225.27127230510777,232.0843016700842,0.6664179120842765,0.741793423702428,189.16316120127954,0.6388406945737992,0.3268718719482422,0.017404556274414062,21140488.734693095,5467.809872476022
PT_10,1,Tapes,3,212.6611254994316,82.61360695777068,200.40214573447355,54.2773828125,0.34423828125,0.7115673321156245,168.9098839740691,219.63401415859622,204.05852577460777,245.1600956184792,275.8173489165648,0.7115673321156245,0.7236686265101816,212.6611254994316,0.9150273571063491,0.6299018859863281,0.16260147094726562,24048257.488136824,5858.366716656963
PT_10,1,Tapes,4,224.0474039051012,94.58104925211437,205.93320545138124,44.638140625,0.63720703125,0.6734209108254982,163.01925399337716,233.08223843919333,226.939774536322,258.1638172783937,302.5773941846493,0.6734209108254982,0.7407579710482025,224.0474039051012,0.9063391816196792,0.6656646728515625,0.19311904907226562,24711984.65416575,9759.034972732825
PT_10,1,Tapes,5,248.09024512921206,108.50600378586829,230.00862959062755,50.832890625000005,0.37109375,0.6391611348629266,180.3876012226859,276.7472986987793,233.29342980605418,237.9567484848177,368.2715430165009,0.6391611348629266,0.7275203598701196,248.09024512921206,0.9723466541846988,0.7510185241699219,0.18978118896484375,27601035.550875306,11194.587208642171
PT_10,1,Tapes_standing,1,223.06059203079616,145.01382444329695,209.78426277586652,56.361875,0.7049560546875,0.7071328834345447,167.383595354598,238.45252278143502,271.92848215120205,202.6379765129103,260.8227707005817,0.7071328834345447,0.7667090957773405,223.06059203079616,0.8867112002801472,0.6630420684814453,0.0362396240234375,25174111.533103976,8412.428454169603
PT_10,1,Tapes_standing,2,278.57463547321686,177.92937383155706,262.0312691959854,49.507906250000005,0.42236328125,0.7674230524600546,227.42290296338334,290.18562721144104,354.86044618714806,251.24639265056956,280.44082896108796,0.7674230524600546,0.6903830544787386,278.57463547321686,0.8854998216752015,0.6530284881591797,0.15926361083984375,31443752.303518243,13171.909345065786
PT_10,1,Tapes_standing,3,240.4817679749427,157.6253658511265,230.0071332330176,58.4061640625,0.3985595703125,0.7547964766205253,190.6348846013451,253.9676704115501,307.4853815917712,219.54668742301266,242.7236352098578,0.7547964766205253,0.7044679679942076,240.4817679749427,1.035606219308184,0.7927417755126953,0.10991096496582031,27600855.98796211,7426.845778981122
PT_10,1,Tapes_standing,4,234.17248553077113,157.76124357592852,221.94104783227584,55.138492187500006,0.394287109375,0.7115134013331881,178.1115986226544,252.58319170154542,283.86852141450373,211.19104434757472,267.3227795473892,0.7115134013331881,0.7459442125358805,234.17248553077113,0.9681905157890619,0.6766319274902344,0.17523765563964844,26632925.739873096,8627.672489860091
PT_10,1,Tapes_standing,5,247.13057115961482,155.77399351594977,236.40146974660604,58.488820312499996,0.367431640625,0.7434274866550363,189.62390282926125,255.43678402669826,315.58744329414355,223.30444166963503,278.97241724015913,0.7434274866550363,0.7352748614988542,247.13057115961482,0.9972972182758829,0.7343292236328125,0.14495849609375,28368176.36959272,7593.798473216609
PT_10,1,Tapes_cog_load,1,172.19965039264645,84.47948336715376,161.39888985074322,55.285171874999996,0.29052734375,0.6812159332437763,130.50740251608363,184.55062191500355,185.0078965405941,170.05255117356734,221.15225218676693,0.6812159332437763,0.8217100214837858,172.19965039264645,0.7336609977113289,0.46372413635253906,0.06508827209472656,19367866.782089185,4468.473443103206
PT_10,1,Tapes_cog_load,2,192.29927087846858,98.49007855013943,180.0483102134742,55.73490625,0.3448486328125,0.623945900061564,132.5022516529025,212.92915323605334,213.60488471331885,187.61575707250907,253.15042188511077,0.623945900061564,0.794361228377132,192.29927087846858,0.9052457341750821,0.6933212280273438,0.17023086547851562,21605797.225616902,6150.24252059191
PT_10,1,Tapes_cog_load,3,193.70417991003401,100.95294413664405,181.482732968196,55.7939140625,0.4803466796875,0.6040667471560829,132.39580104839993,216.28159316858054,211.8065749428661,185.94109328099677,261.45834659677007,0.6040667471560829,0.781990595144149,193.70417991003401,0.9677915499477838,0.7758140563964844,0.32258033752441406,21777927.95618352,6087.3773730425055
PT_10,1,Tapes_cog_load,4,180.52257507577104,97.78802951463733,171.30885015911298,58.307937499999994,0.4241943359375,0.5731018556751585,118.87394288587595,208.25522824067718,187.75064231547822,173.50046583266834,253.01353626553822,0.5731018556751585,0.7989665583631649,180.52257507577104,1.0768693535816696,0.8661746978759766,0.4334449768066406,20557062.01909356,4422.164413840379
PT_10,1,Tapes_cog_load,5,194.7330198021864,106.22997436176426,182.49680396194654,54.102015625,0.384521484375,0.5859192748890599,128.07052837965927,218.48172856947,212.83028796590597,187.9216894399246,270.9544588931666,0.5859192748890599,0.8001682567442393,194.7330198021864,0.9476245711455815,0.7293224334716797,0.23889541625976562,21899616.475433584,6199.1228172336505
PT_10,2,Tapes,1,291.8826176029509,123.27642389883923,270.8846355826289,54.569546875,0.7867431640625,0.7405033228523172,237.9408986971351,294.87280406430386,219.86548606629745,457.9888271610889,348.4430533498345,0.7405033228523172,0.5676564158308411,291.8826176029509,1.0782109551544323,0.926971435546875,0.12540817260742188,32506156.26991546,14781.702137393457
PT_10,2,Tapes,2,293.05506809345025,122.00629679328661,277.3123183061944,56.9896875,0.9478759765625,0.7272331021749775,233.3902107348005,299.05356757997447,223.28787058233925,459.7770943729697,351.73314329287984,0.7272331021749775,0.5662956558534803,293.05506809345025,1.2075324813975299,1.0406970977783203,0.7174015045166016,33277478.19674333,11153.310099787666
PT_10,2,Tapes,3,303.3309657600152,122.10213934940114,285.22872531579475,55.71815625,1.0205078125,0.7274728826186981,244.98673629618648,312.3362520129668,224.7426540374158,466.7053300497066,368.8516912786968,0.7274728826186981,0.5569331962781231,303.3309657600152,1.218189104382707,1.0938644409179688,0.9260177612304688,34227447.03789537,13128.301168667886
PT_10,2,Tapes,4,310.51237384158554,128.57751887250734,290.9659401998758,50.338499999999996,0.460205078125,0.7087774673519481,240.78988916133372,326.89898651549265,223.688537413135,479.42546535913687,391.8407489809856,0.7087774673519481,0.5285742993149743,310.51237384158554,1.1594203358542563,0.9829998016357422,0.6387233734130859,34857719.63594512,14619.671692890366
PT_10,2,Tapes,5,327.1055948744587,132.53381634421135,307.29938523007456,56.526734375000004,1.134033203125,0.7217389427831628,256.3089919504586,343.8377205780158,237.64588084059577,497.8017920370967,412.2440425086118,0.7217389427831628,0.5391438532292875,327.1055948744587,1.2585034988826513,1.1310577392578125,0.9090900421142578,36814466.35056293,15816.353676765033
PT_10,2,Tapes_standing,1,313.27455469182553,135.01771299196142,289.9541812770576,53.116484375,1.048583984375,0.6592668963684932,228.6554861472989,338.139611223427,217.4429644696887,476.92842353039435,427.8145982155436,0.6592668963684932,0.49729227279304017,313.27455469182553,1.067419102650677,0.9984970092773438,0.5526542663574219,34794501.75324692,17993.37155040721
PT_10,2,Tapes_standing,2,321.48977910174233,133.92259912157763,300.889371893873,53.78096875,0.90087890625,0.7053102893694244,245.58150198635673,336.9452424946359,236.10099527879595,495.60552450268216,411.47604031082926,0.7053102893694244,0.5382053771098744,321.48977910174233,1.1526621148578222,1.0461807250976562,0.2887248992919922,36106724.62726475,16134.113100148437
PT_10,2,Tapes_standing,3,346.17728054792815,143.19164458052262,322.91971477225496,54.23159375,0.6475830078125,0.6909431188020204,260.6055237804547,364.17320516403487,254.3305161766617,532.7268881683741,449.443441824957,0.6909431188020204,0.5383131746144537,346.17728054792815,1.1731594979374687,1.0187625885009766,0.5118846893310547,38750365.77267059,19470.419976313467
PT_10,2,Tapes_standing,4,334.118864965355,138.90187693772037,312.28349737773107,53.937328125,1.0626220703125,0.6943326218894494,252.8692569073529,350.83467225244755,244.2701036580044,511.08622460390205,437.12569902238056,0.6943326218894494,0.535454880235506,334.118864965355,1.154620391556053,1.0385513305664062,0.6647109985351562,37474019.68532773,17905.775666529877
PT_10,2,Tapes_standing,5,368.9651240453935,157.3577627984714,341.53455250839227,52.46590625,1.0882568359375,0.6907906204287555,272.3098189098427,386.2542853043871,272.8587939563409,572.1072241263942,488.5563428202258,0.6907906204287555,0.5395890051229231,368.9651240453935,1.1692914908373386,1.0216236114501953,0.23055076599121094,40984146.30100708,25422.594325689894
PT_10,3,Tapes,1,272.0524847532411,115.02336962837583,253.01647765748913,51.874359375,0.7275390625,0.6326579817707831,180.64384604339256,281.9791546896525,252.1205422369009,378.7937763370588,378.543536684167,0.6326579817707831,0.6682275002963489,272.0524847532411,1.107899956800067,0.8940696716308594,0.644683837890625,30361977.3188987,12679.84808135159
PT_10,3,Tapes,2,286.4408363391698,109.95758421441668,265.64428770251993,48.7899921875,0.6622314453125,0.6716809252696634,199.3577164676087,292.5580697408265,271.09530504315927,390.69387288427026,387.37934129537024,0.6716809252696634,0.6918785260872431,286.4408363391698,1.05269542707275,0.8947849273681641,0.07176399230957031,31877314.52430239,14487.725091531336
PT_10,3,Tapes,3,288.5294390943092,116.04769701171237,270.0068683668314,55.8053828125,0.8013916015625,0.6460795875893662,202.1666075989084,298.71909403201306,255.89704679920047,391.25541402286586,406.1416998632338,0.6460795875893662,0.65458020562863,288.5294390943092,1.1953776111186634,0.9760856628417969,0.6048679351806641,32400824.20401977,13045.918191021401
PT_10,3,Tapes,4,275.6115826877988,112.30163103640346,255.88137847698763,47.31016406250001,0.72998046875,0.6395991811242829,188.03212938822867,292.10486757815283,237.28624233660992,374.23010024412156,394.42495457899554,0.6395991811242829,0.634561366272913,275.6115826877988,1.117759830112223,0.8950233459472656,0.5066394805908203,30705765.41723852,13401.960035139891
PT_10,3,Tapes,5,305.7075659104603,125.46705670448996,285.7654258001955,54.7366640625,0.72998046875,0.659589667892506,213.74892617522866,315.3239741615687,273.6315954929418,417.9347721651653,426.8643361213104,0.659589667892506,0.6582573995933059,305.7075659104603,1.1565309311143328,0.9431838989257812,0.7488727569580078,34291851.09602346,14936.508633329831
PT_10,3,Tapes_standing,1,306.60107824436597,141.10014832346494,280.9167002986487,49.411648437500006,0.853271484375,0.6190462089417769,197.44059472243103,319.1680600050801,279.85602641131,432.628368397027,438.02674480403584,0.6190462089417769,0.6477591510444112,306.60107824436597,1.032985051217505,0.8182525634765625,0.5846023559570312,31125570.39309027,20476.198000647797
PT_10,3,Tapes_standing,2,302.2543045238711,145.33957650729698,278.44155113105126,52.255453125,0.8905029296875,0.5740350700059176,186.5954571800137,324.2897307100826,261.9157440359633,424.23210175957024,451.43704562473624,0.5740350700059176,0.6083823176594721,302.2543045238711,1.0867810542933054,0.9121894836425781,0.7586479187011719,33412986.135726143,18527.318103741163
PT_10,3,Tapes_standing,3,286.38449620691,147.87015915114625,263.42229814515406,52.3801015625,0.7904052734375,0.5497696354624568,170.34890635161233,311.4984690752721,234.75961152846688,414.05663720072357,440.7233204513656,0.5497696354624568,0.5668046318909143,286.38449620691,1.2130174009570895,1.0395050048828125,0.8015632629394531,31610675.777418487,18011.802383061335
PT_10,3,Tapes_standing,4,277.7623558466621,133.25106313989158,256.2302805220011,52.581140625,0.692138671875,0.5606847309298136,167.26100859212372,300.90546413083194,239.1692565970718,386.3693990170403,423.6009992339985,0.5606847309298136,0.6048822941443192,277.7623558466621,1.156378089667557,1.0364055633544922,0.7650852203369141,30747633.662640132,15480.310150921927
